id,year,song,artist,sentence
23,1960,The Battle Of New Orleans,Jimmy Driftwood,"En el historial de los Grammy, ""The Battle Of New Orleans"" aparece como la ganadora de Canción del Año correspondiente a 1960."
24,1960,The Battle Of New Orleans,Jimmy Driftwood,"La canción ""The Battle Of New Orleans"", interpretada por Jimmy Driftwood, recibió uno de los principales Grammy en 1960."
25,1960,The Battle Of New Orleans,Jimmy Driftwood,"El reconocimiento a Canción del Año en los Grammy de 1960 fue para la composición titulada ""The Battle Of New Orleans""."
26,1960,The Battle Of New Orleans,Jimmy Driftwood,"Según el registro histórico de los Grammy, ""The Battle Of New Orleans"" ganó Canción del Año en 1960."
27,1960,The Battle Of New Orleans,Jimmy Driftwood,"La participación de Jimmy Driftwood quedó ligada a ""The Battle Of New Orleans"", la Canción del Año en los Grammy de 1960."
28,1960,The Battle Of New Orleans,Jimmy Driftwood,"En 1960, la Recording Academy premió a ""The Battle Of New Orleans"" dentro de la categoría Canción del Año."
29,1960,The Battle Of New Orleans,Jimmy Driftwood,"El título ""The Battle Of New Orleans"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1960."
30,1960,The Battle Of New Orleans,Jimmy Driftwood,"La ceremonia de 1960 incorporó a ""The Battle Of New Orleans"", interpretada por Jimmy Driftwood, al grupo de ganadoras de Canción del Año."
31,1961,Theme From Exodus,Ernest Gold,"En 1961, ""Theme From Exodus"" obtuvo el Grammy a Canción del Año y fue interpretada por Ernest Gold."
32,1961,Theme From Exodus,Ernest Gold,"La obra ""Theme From Exodus"", asociada con Ernest Gold, ganó la categoría Canción del Año en los Grammy de 1961."
33,1961,Theme From Exodus,Ernest Gold,"Durante la ceremonia de los Grammy de 1961, ""Theme From Exodus"" fue reconocida como Canción del Año."
34,1961,Theme From Exodus,Ernest Gold,"El premio Grammy a Canción del Año de 1961 correspondió a ""Theme From Exodus"", interpretada por Ernest Gold."
35,1961,Theme From Exodus,Ernest Gold,"Entre los ganadores históricos de los Grammy figura ""Theme From Exodus"", premiada como Canción del Año en 1961."
36,1961,Theme From Exodus,Ernest Gold,"Ernest Gold estuvo vinculado al triunfo de ""Theme From Exodus"" en la categoría Canción del Año de los Grammy de 1961."
37,1961,Theme From Exodus,Ernest Gold,"La edición de los Grammy celebrada en 1961 distinguió a ""Theme From Exodus"" con el premio a Canción del Año."
38,1961,Theme From Exodus,Ernest Gold,"En el historial de los Grammy, ""Theme From Exodus"" aparece como la ganadora de Canción del Año correspondiente a 1961."
39,1961,Theme From Exodus,Ernest Gold,"La canción ""Theme From Exodus"", interpretada por Ernest Gold, recibió uno de los principales Grammy en 1961."
40,1961,Theme From Exodus,Ernest Gold,"El reconocimiento a Canción del Año en los Grammy de 1961 fue para la composición titulada ""Theme From Exodus""."
41,1961,Theme From Exodus,Ernest Gold,"Según el registro histórico de los Grammy, ""Theme From Exodus"" ganó Canción del Año en 1961."
42,1961,Theme From Exodus,Ernest Gold,"La participación de Ernest Gold quedó ligada a ""Theme From Exodus"", la Canción del Año en los Grammy de 1961."
43,1961,Theme From Exodus,Ernest Gold,"En 1961, la Recording Academy premió a ""Theme From Exodus"" dentro de la categoría Canción del Año."
44,1961,Theme From Exodus,Ernest Gold,"El título ""Theme From Exodus"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1961."
45,1961,Theme From Exodus,Ernest Gold,"La ceremonia de 1961 incorporó a ""Theme From Exodus"", interpretada por Ernest Gold, al grupo de ganadoras de Canción del Año."
46,1962,Moon River,Henry Mancini,"En 1962, ""Moon River"" obtuvo el Grammy a Canción del Año y fue interpretada por Henry Mancini."
47,1962,Moon River,Henry Mancini,"La obra ""Moon River"", asociada con Henry Mancini, ganó la categoría Canción del Año en los Grammy de 1962."
48,1962,Moon River,Henry Mancini,"Durante la ceremonia de los Grammy de 1962, ""Moon River"" fue reconocida como Canción del Año."
49,1962,Moon River,Henry Mancini,"El premio Grammy a Canción del Año de 1962 correspondió a ""Moon River"", interpretada por Henry Mancini."
50,1962,Moon River,Henry Mancini,"Entre los ganadores históricos de los Grammy figura ""Moon River"", premiada como Canción del Año en 1962."
51,1962,Moon River,Henry Mancini,"Henry Mancini estuvo vinculado al triunfo de ""Moon River"" en la categoría Canción del Año de los Grammy de 1962."
52,1962,Moon River,Henry Mancini,"La edición de los Grammy celebrada en 1962 distinguió a ""Moon River"" con el premio a Canción del Año."
53,1962,Moon River,Henry Mancini,"En el historial de los Grammy, ""Moon River"" aparece como la ganadora de Canción del Año correspondiente a 1962."
54,1962,Moon River,Henry Mancini,"La canción ""Moon River"", interpretada por Henry Mancini, recibió uno de los principales Grammy en 1962."
55,1962,Moon River,Henry Mancini,"El reconocimiento a Canción del Año en los Grammy de 1962 fue para la composición titulada ""Moon River""."
56,1962,Moon River,Henry Mancini,"Según el registro histórico de los Grammy, ""Moon River"" ganó Canción del Año en 1962."
57,1962,Moon River,Henry Mancini,"La participación de Henry Mancini quedó ligada a ""Moon River"", la Canción del Año en los Grammy de 1962."
58,1962,Moon River,Henry Mancini,"En 1962, la Recording Academy premió a ""Moon River"" dentro de la categoría Canción del Año."
59,1962,Moon River,Henry Mancini,"El título ""Moon River"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1962."
60,1962,Moon River,Henry Mancini,"La ceremonia de 1962 incorporó a ""Moon River"", interpretada por Henry Mancini, al grupo de ganadoras de Canción del Año."
61,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","En 1963, ""What Kind Of Fool Am I"" obtuvo el Grammy a Canción del Año y fue interpretada por Sammy Davis, Jr. AND ALSO Anthony Newley."
62,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","La obra ""What Kind Of Fool Am I"", asociada con Sammy Davis, Jr. AND ALSO Anthony Newley, ganó la categoría Canción del Año en los Grammy de 1963."
63,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","Durante la ceremonia de los Grammy de 1963, ""What Kind Of Fool Am I"" fue reconocida como Canción del Año."
64,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","El premio Grammy a Canción del Año de 1963 correspondió a ""What Kind Of Fool Am I"", interpretada por Sammy Davis, Jr. AND ALSO Anthony Newley."
65,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","Entre los ganadores históricos de los Grammy figura ""What Kind Of Fool Am I"", premiada como Canción del Año en 1963."
66,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","Sammy Davis, Jr. AND ALSO Anthony Newley estuvo vinculado al triunfo de ""What Kind Of Fool Am I"" en la categoría Canción del Año de los Grammy de 1963."
67,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","La edición de los Grammy celebrada en 1963 distinguió a ""What Kind Of Fool Am I"" con el premio a Canción del Año."
68,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","En el historial de los Grammy, ""What Kind Of Fool Am I"" aparece como la ganadora de Canción del Año correspondiente a 1963."
69,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","La canción ""What Kind Of Fool Am I"", interpretada por Sammy Davis, Jr. AND ALSO Anthony Newley, recibió uno de los principales Grammy en 1963."
70,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","El reconocimiento a Canción del Año en los Grammy de 1963 fue para la composición titulada ""What Kind Of Fool Am I""."
71,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","Según el registro histórico de los Grammy, ""What Kind Of Fool Am I"" ganó Canción del Año en 1963."
72,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","La participación de Sammy Davis, Jr. AND ALSO Anthony Newley quedó ligada a ""What Kind Of Fool Am I"", la Canción del Año en los Grammy de 1963."
73,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","En 1963, la Recording Academy premió a ""What Kind Of Fool Am I"" dentro de la categoría Canción del Año."
74,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","El título ""What Kind Of Fool Am I"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1963."
75,1963,What Kind Of Fool Am I,"Sammy Davis, Jr. AND ALSO Anthony Newley","La ceremonia de 1963 incorporó a ""What Kind Of Fool Am I"", interpretada por Sammy Davis, Jr. AND ALSO Anthony Newley, al grupo de ganadoras de Canción del Año."
76,1964,Days Of Wine And Roses,Henry Mancini,"En 1964, ""Days Of Wine And Roses"" obtuvo el Grammy a Canción del Año y fue interpretada por Henry Mancini."
77,1964,Days Of Wine And Roses,Henry Mancini,"La obra ""Days Of Wine And Roses"", asociada con Henry Mancini, ganó la categoría Canción del Año en los Grammy de 1964."
78,1964,Days Of Wine And Roses,Henry Mancini,"Durante la ceremonia de los Grammy de 1964, ""Days Of Wine And Roses"" fue reconocida como Canción del Año."
79,1964,Days Of Wine And Roses,Henry Mancini,"El premio Grammy a Canción del Año de 1964 correspondió a ""Days Of Wine And Roses"", interpretada por Henry Mancini."
80,1964,Days Of Wine And Roses,Henry Mancini,"Entre los ganadores históricos de los Grammy figura ""Days Of Wine And Roses"", premiada como Canción del Año en 1964."
81,1964,Days Of Wine And Roses,Henry Mancini,"Henry Mancini estuvo vinculado al triunfo de ""Days Of Wine And Roses"" en la categoría Canción del Año de los Grammy de 1964."
82,1964,Days Of Wine And Roses,Henry Mancini,"La edición de los Grammy celebrada en 1964 distinguió a ""Days Of Wine And Roses"" con el premio a Canción del Año."
83,1964,Days Of Wine And Roses,Henry Mancini,"En el historial de los Grammy, ""Days Of Wine And Roses"" aparece como la ganadora de Canción del Año correspondiente a 1964."
84,1964,Days Of Wine And Roses,Henry Mancini,"La canción ""Days Of Wine And Roses"", interpretada por Henry Mancini, recibió uno de los principales Grammy en 1964."
85,1964,Days Of Wine And Roses,Henry Mancini,"El reconocimiento a Canción del Año en los Grammy de 1964 fue para la composición titulada ""Days Of Wine And Roses""."
86,1964,Days Of Wine And Roses,Henry Mancini,"Según el registro histórico de los Grammy, ""Days Of Wine And Roses"" ganó Canción del Año en 1964."
87,1964,Days Of Wine And Roses,Henry Mancini,"La participación de Henry Mancini quedó ligada a ""Days Of Wine And Roses"", la Canción del Año en los Grammy de 1964."
88,1964,Days Of Wine And Roses,Henry Mancini,"En 1964, la Recording Academy premió a ""Days Of Wine And Roses"" dentro de la categoría Canción del Año."
89,1964,Days Of Wine And Roses,Henry Mancini,"El título ""Days Of Wine And Roses"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1964."
90,1964,Days Of Wine And Roses,Henry Mancini,"La ceremonia de 1964 incorporó a ""Days Of Wine And Roses"", interpretada por Henry Mancini, al grupo de ganadoras de Canción del Año."
91,1965,"Hello, Dolly!",Louis Armstrong,"En 1965, ""Hello, Dolly!"" obtuvo el Grammy a Canción del Año y fue interpretada por Louis Armstrong."
92,1965,"Hello, Dolly!",Louis Armstrong,"La obra ""Hello, Dolly!"", asociada con Louis Armstrong, ganó la categoría Canción del Año en los Grammy de 1965."
93,1965,"Hello, Dolly!",Louis Armstrong,"Durante la ceremonia de los Grammy de 1965, ""Hello, Dolly!"" fue reconocida como Canción del Año."
94,1965,"Hello, Dolly!",Louis Armstrong,"El premio Grammy a Canción del Año de 1965 correspondió a ""Hello, Dolly!"", interpretada por Louis Armstrong."
95,1965,"Hello, Dolly!",Louis Armstrong,"Entre los ganadores históricos de los Grammy figura ""Hello, Dolly!"", premiada como Canción del Año en 1965."
96,1965,"Hello, Dolly!",Louis Armstrong,"Louis Armstrong estuvo vinculado al triunfo de ""Hello, Dolly!"" en la categoría Canción del Año de los Grammy de 1965."
97,1965,"Hello, Dolly!",Louis Armstrong,"La edición de los Grammy celebrada en 1965 distinguió a ""Hello, Dolly!"" con el premio a Canción del Año."
98,1965,"Hello, Dolly!",Louis Armstrong,"En el historial de los Grammy, ""Hello, Dolly!"" aparece como la ganadora de Canción del Año correspondiente a 1965."
99,1965,"Hello, Dolly!",Louis Armstrong,"La canción ""Hello, Dolly!"", interpretada por Louis Armstrong, recibió uno de los principales Grammy en 1965."
100,1965,"Hello, Dolly!",Louis Armstrong,"El reconocimiento a Canción del Año en los Grammy de 1965 fue para la composición titulada ""Hello, Dolly!""."
101,1965,"Hello, Dolly!",Louis Armstrong,"Según el registro histórico de los Grammy, ""Hello, Dolly!"" ganó Canción del Año en 1965."
102,1965,"Hello, Dolly!",Louis Armstrong,"La participación de Louis Armstrong quedó ligada a ""Hello, Dolly!"", la Canción del Año en los Grammy de 1965."
103,1965,"Hello, Dolly!",Louis Armstrong,"En 1965, la Recording Academy premió a ""Hello, Dolly!"" dentro de la categoría Canción del Año."
104,1965,"Hello, Dolly!",Louis Armstrong,"El título ""Hello, Dolly!"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1965."
105,1965,"Hello, Dolly!",Louis Armstrong,"La ceremonia de 1965 incorporó a ""Hello, Dolly!"", interpretada por Louis Armstrong, al grupo de ganadoras de Canción del Año."
106,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"En 1966, ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" obtuvo el Grammy a Canción del Año y fue interpretada por Tony Bennett."
107,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"La obra ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", asociada con Tony Bennett, ganó la categoría Canción del Año en los Grammy de 1966."
108,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"Durante la ceremonia de los Grammy de 1966, ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" fue reconocida como Canción del Año."
109,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"El premio Grammy a Canción del Año de 1966 correspondió a ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", interpretada por Tony Bennett."
110,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"Entre los ganadores históricos de los Grammy figura ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", premiada como Canción del Año en 1966."
111,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"Tony Bennett estuvo vinculado al triunfo de ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" en la categoría Canción del Año de los Grammy de 1966."
112,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"La edición de los Grammy celebrada en 1966 distinguió a ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" con el premio a Canción del Año."
113,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"En el historial de los Grammy, ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" aparece como la ganadora de Canción del Año correspondiente a 1966."
114,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"La canción ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", interpretada por Tony Bennett, recibió uno de los principales Grammy en 1966."
115,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"El reconocimiento a Canción del Año en los Grammy de 1966 fue para la composición titulada ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")""."
116,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"Según el registro histórico de los Grammy, ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" ganó Canción del Año en 1966."
117,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"La participación de Tony Bennett quedó ligada a ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", la Canción del Año en los Grammy de 1966."
118,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"En 1966, la Recording Academy premió a ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" dentro de la categoría Canción del Año."
119,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"El título ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1966."
120,1966,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Tony Bennett,"La ceremonia de 1966 incorporó a ""The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"", interpretada por Tony Bennett, al grupo de ganadoras de Canción del Año."
121,1967,Michelle,The Beatles,"En 1967, ""Michelle"" obtuvo el Grammy a Canción del Año y fue interpretada por The Beatles."
122,1967,Michelle,The Beatles,"La obra ""Michelle"", asociada con The Beatles, ganó la categoría Canción del Año en los Grammy de 1967."
123,1967,Michelle,The Beatles,"Durante la ceremonia de los Grammy de 1967, ""Michelle"" fue reconocida como Canción del Año."
124,1967,Michelle,The Beatles,"El premio Grammy a Canción del Año de 1967 correspondió a ""Michelle"", interpretada por The Beatles."
125,1967,Michelle,The Beatles,"Entre los ganadores históricos de los Grammy figura ""Michelle"", premiada como Canción del Año en 1967."
126,1967,Michelle,The Beatles,"The Beatles estuvo vinculado al triunfo de ""Michelle"" en la categoría Canción del Año de los Grammy de 1967."
127,1967,Michelle,The Beatles,"La edición de los Grammy celebrada en 1967 distinguió a ""Michelle"" con el premio a Canción del Año."
128,1967,Michelle,The Beatles,"En el historial de los Grammy, ""Michelle"" aparece como la ganadora de Canción del Año correspondiente a 1967."
129,1967,Michelle,The Beatles,"La canción ""Michelle"", interpretada por The Beatles, recibió uno de los principales Grammy en 1967."
130,1967,Michelle,The Beatles,"El reconocimiento a Canción del Año en los Grammy de 1967 fue para la composición titulada ""Michelle""."
131,1967,Michelle,The Beatles,"Según el registro histórico de los Grammy, ""Michelle"" ganó Canción del Año en 1967."
132,1967,Michelle,The Beatles,"La participación de The Beatles quedó ligada a ""Michelle"", la Canción del Año en los Grammy de 1967."
133,1967,Michelle,The Beatles,"En 1967, la Recording Academy premió a ""Michelle"" dentro de la categoría Canción del Año."
134,1967,Michelle,The Beatles,"El título ""Michelle"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1967."
135,1967,Michelle,The Beatles,"La ceremonia de 1967 incorporó a ""Michelle"", interpretada por The Beatles, al grupo de ganadoras de Canción del Año."
136,1968,"Up, Up And Away",5th Dimension,"En 1968, ""Up, Up And Away"" obtuvo el Grammy a Canción del Año y fue interpretada por 5th Dimension."
137,1968,"Up, Up And Away",5th Dimension,"La obra ""Up, Up And Away"", asociada con 5th Dimension, ganó la categoría Canción del Año en los Grammy de 1968."
138,1968,"Up, Up And Away",5th Dimension,"Durante la ceremonia de los Grammy de 1968, ""Up, Up And Away"" fue reconocida como Canción del Año."
139,1968,"Up, Up And Away",5th Dimension,"El premio Grammy a Canción del Año de 1968 correspondió a ""Up, Up And Away"", interpretada por 5th Dimension."
140,1968,"Up, Up And Away",5th Dimension,"Entre los ganadores históricos de los Grammy figura ""Up, Up And Away"", premiada como Canción del Año en 1968."
141,1968,"Up, Up And Away",5th Dimension,"5th Dimension estuvo vinculado al triunfo de ""Up, Up And Away"" en la categoría Canción del Año de los Grammy de 1968."
142,1968,"Up, Up And Away",5th Dimension,"La edición de los Grammy celebrada en 1968 distinguió a ""Up, Up And Away"" con el premio a Canción del Año."
143,1968,"Up, Up And Away",5th Dimension,"En el historial de los Grammy, ""Up, Up And Away"" aparece como la ganadora de Canción del Año correspondiente a 1968."
144,1968,"Up, Up And Away",5th Dimension,"La canción ""Up, Up And Away"", interpretada por 5th Dimension, recibió uno de los principales Grammy en 1968."
145,1968,"Up, Up And Away",5th Dimension,"El reconocimiento a Canción del Año en los Grammy de 1968 fue para la composición titulada ""Up, Up And Away""."
146,1968,"Up, Up And Away",5th Dimension,"Según el registro histórico de los Grammy, ""Up, Up And Away"" ganó Canción del Año en 1968."
147,1968,"Up, Up And Away",5th Dimension,"La participación de 5th Dimension quedó ligada a ""Up, Up And Away"", la Canción del Año en los Grammy de 1968."
148,1968,"Up, Up And Away",5th Dimension,"En 1968, la Recording Academy premió a ""Up, Up And Away"" dentro de la categoría Canción del Año."
149,1968,"Up, Up And Away",5th Dimension,"El título ""Up, Up And Away"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1968."
150,1968,"Up, Up And Away",5th Dimension,"La ceremonia de 1968 incorporó a ""Up, Up And Away"", interpretada por 5th Dimension, al grupo de ganadoras de Canción del Año."
151,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"En 1969, ""Little Green Apples"" obtuvo el Grammy a Canción del Año y fue interpretada por Roger Miller AND ALSO O.C. Smith."
152,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"La obra ""Little Green Apples"", asociada con Roger Miller AND ALSO O.C. Smith, ganó la categoría Canción del Año en los Grammy de 1969."
153,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"Durante la ceremonia de los Grammy de 1969, ""Little Green Apples"" fue reconocida como Canción del Año."
154,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"El premio Grammy a Canción del Año de 1969 correspondió a ""Little Green Apples"", interpretada por Roger Miller AND ALSO O.C. Smith."
155,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"Entre los ganadores históricos de los Grammy figura ""Little Green Apples"", premiada como Canción del Año en 1969."
156,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"Roger Miller AND ALSO O.C. Smith estuvo vinculado al triunfo de ""Little Green Apples"" en la categoría Canción del Año de los Grammy de 1969."
157,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"La edición de los Grammy celebrada en 1969 distinguió a ""Little Green Apples"" con el premio a Canción del Año."
158,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"En el historial de los Grammy, ""Little Green Apples"" aparece como la ganadora de Canción del Año correspondiente a 1969."
159,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"La canción ""Little Green Apples"", interpretada por Roger Miller AND ALSO O.C. Smith, recibió uno de los principales Grammy en 1969."
160,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"El reconocimiento a Canción del Año en los Grammy de 1969 fue para la composición titulada ""Little Green Apples""."
161,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"Según el registro histórico de los Grammy, ""Little Green Apples"" ganó Canción del Año en 1969."
162,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"La participación de Roger Miller AND ALSO O.C. Smith quedó ligada a ""Little Green Apples"", la Canción del Año en los Grammy de 1969."
163,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"En 1969, la Recording Academy premió a ""Little Green Apples"" dentro de la categoría Canción del Año."
164,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"El título ""Little Green Apples"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1969."
165,1969,Little Green Apples,Roger Miller AND ALSO O.C. Smith,"La ceremonia de 1969 incorporó a ""Little Green Apples"", interpretada por Roger Miller AND ALSO O.C. Smith, al grupo de ganadoras de Canción del Año."
166,1970,Games People Play,Joe South,"En 1970, ""Games People Play"" obtuvo el Grammy a Canción del Año y fue interpretada por Joe South."
